DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.042674362659454346" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.039014503359794617" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.038159977644681931" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.03673022985458374" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.035364653915166855" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.04905589297413826" 
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.071092776954174042" 
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.089895777404308319" 
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.020464235916733742" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.01422478724271059" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.01300483476370573" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.01271999254822731" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.01224341057240963" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.011788218282163143" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.016351964324712753" 
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.023697592318058014" 
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.637301*((1.+(0.479205*x))/(1.+(0.311514*x))))-0.02996525913476944" 
